advertiser_id,campaign_id,date,impressions,clicks,installs,cost_micros
1,1,2018-12-21,77873,3398,319,1325220000
1,1,2018-12-22,91984,1352,86,527280000
1,1,2018-12-23,14934,629,54,245310000
1,1,2018-12-24,61939,1820,116,709800000
1,1,2018-12-25,1295,26,4,10140000
1,1,2018-12-26,19702,128,10,49920000
1,1,2018-12-27,81087,626,62,244140000
1,1,2018-12-28,562,9,1,3510000
1,1,2018-12-29,76694,617,59,240630000
1,1,2018-12-30,75033,1048,151,408720000
1,1,2018-12-31,96236,3463,380,1350570000
1,2,2018-12-21,25457,753,46,504160000
1,2,2018-12-22,48815,2299,157,1720720000
1,2,2018-12-23,36692,616,42,460320000
1,2,2018-12-24,37518,738,106,1161760000
1,2,2018-12-25,77383,2082,275,3014000000
1,2,2018-12-26,47544,2244,168,1841280000
1,2,2018-12-27,54304,1945,232,2542720000
1,2,2018-12-28,32374,1437,99,1085040000
1,2,2018-12-29,24454,264,36,394560000
1,2,2018-12-30,65940,2467,158,1731680000
1,2,2018-12-31,50703,398,24,263040000
1,3,2018-07-28,39323,1754,122,1179690000
1,3,2018-07-29,32719,813,87,981570000
1,3,2018-07-30,84742,2998,328,2542260000
1,3,2018-07-31,4245,63,5,127350000
1,3,2018-08-01,15326,319,19,459780000
1,4,2018-09-28,89002,1601,209,816510000
1,4,2018-09-29,20678,428,25,218280000
1,4,2018-09-30,6264,140,9,71400000
1,4,2018-10-01,89524,2305,286,1175550000
1,4,2018-10-02,62358,2800,319,1428000000
1,4,2018-10-03,49151,1749,90,891990000
1,4,2018-10-04,46530,1565,116,798150000
1,4,2018-10-05,72382,3410,185,1739100000
1,4,2018-10-06,74587,1177,146,600270000
1,4,2018-10-07,27648,1359,172,693090000
1,4,2018-10-08,58861,543,55,276930000
1,4,2018-10-09,82788,668,93,340680000
1,4,2018-10-10,12547,284,22,144840000
1,4,2018-10-11,21237,528,57,269280000
1,4,2018-10-12,42487,1917,100,977670000
1,4,2018-10-13,53976,614,80,313140000
1,4,2018-10-14,58294,407,26,207570000
1,5,2018-11-18,55768,1670,221,557680000
1,5,2018-11-19,19435,409,49,194350000
1,5,2018-11-20,85192,3110,313,851920000
1,5,2018-11-21,37824,1403,149,378240000
1,5,2018-11-22,12039,555,79,120390000
1,5,2018-11-23,39183,305,39,391830000
1,5,2018-11-24,428,17,1,4280000
1,5,2018-11-25,92560,4423,456,925600000
1,5,2018-11-26,80995,2000,252,809950000
1,5,2018-11-27,33446,240,36,334460000
1,5,2018-11-28,83247,2857,306,832470000
1,5,2018-11-29,65091,1479,75,650910000
1,5,2018-11-30,28487,915,129,284870000
1,5,2018-12-01,27427,485,35,274270000
1,5,2018-12-02,67523,515,52,675230000
1,5,2018-12-03,56061,1667,158,560610000
1,5,2018-12-04,7546,150,21,75460000
1,5,2018-12-05,83072,3290,412,830720000
1,5,2018-12-06,43275,1263,94,432750000
1,5,2018-12-07,78098,3691,502,780980000
1,5,2018-12-08,8655,400,25,86550000
1,5,2018-12-09,30757,630,70,307570000
1,5,2018-12-10,55230,348,29,552300000
1,6,2018-06-24,38906,1408,198,1267200000
1,6,2018-06-25,53810,272,18,244800000
1,6,2018-06-26,94476,2357,329,2121300000
1,6,2018-06-27,62616,1119,80,1007100000
1,6,2018-06-28,72687,2570,272,2313000000
1,6,2018-06-29,59590,1906,171,1715400000
1,6,2018-06-30,79804,1307,184,1176300000
1,6,2018-07-01,44418,2140,270,1926000000
1,6,2018-07-02,87415,3063,322,2756700000
1,6,2018-07-03,36325,1460,184,1314000000
1,6,2018-07-04,64981,1348,122,1213200000
1,6,2018-07-05,39277,1341,155,1206900000
1,6,2018-07-06,81246,2626,330,2363400000
1,7,2018-10-15,40057,1580,185,1148850000
1,7,2018-10-16,10891,481,64,397440000
1,7,2018-10-17,94887,4168,423,2626830000
1,7,2018-10-18,11539,283,22,136620000
1,7,2018-10-19,56054,2326,224,1391040000
1,7,2018-10-20,99560,4378,398,2471580000
1,7,2018-10-21,13551,307,36,223560000
1,7,2018-10-22,52378,1181,167,1037070000
1,7,2018-10-23,24227,1184,73,453330000
1,7,2018-10-24,89299,3684,503,3123630000
1,7,2018-10-25,58383,1854,213,1322730000
1,7,2018-10-26,44319,984,109,676890000
